city,year,weekofyear,total_cases
sj,2011,9,27
sj,2011,10,11
sj,2011,11,15
sj,2011,12,13
sj,2011,13,6
sj,2011,14,11
sj,2011,15,7
sj,2011,16,10
sj,2011,17,12
sj,2011,18,7
sj,2011,19,15
sj,2011,20,17
sj,2011,21,11
sj,2011,22,12
sj,2011,23,17
sj,2011,24,98
sj,2011,25,60
sj,2011,26,38
sj,2011,27,63
sj,2011,28,86
sj,2011,29,18
sj,2011,30,74
sj,2011,31,53
sj,2011,32,123
sj,2011,33,69
sj,2011,34,144
sj,2011,35,76
sj,2011,36,36
sj,2011,37,19
sj,2011,38,42
sj,2011,39,103
sj,2011,40,59
sj,2011,41,40
sj,2011,42,25
sj,2011,43,35
sj,2011,44,39
sj,2011,45,39
sj,2011,46,35
sj,2011,47,33
sj,2011,48,36
sj,2011,49,70
sj,2011,50,54
sj,2011,51,25
sj,2012,52,35
sj,2012,1,43
sj,2012,2,38
sj,2012,3,21
sj,2012,4,17
sj,2012,5,17
sj,2012,6,17
sj,2012,7,14
sj,2012,8,22
sj,2012,9,11
sj,2012,10,9
sj,2012,11,12
sj,2012,12,18
sj,2012,13,6
sj,2012,14,9
sj,2012,15,8
sj,2012,16,20
sj,2012,17,7
sj,2012,18,24
sj,2012,19,17
sj,2012,20,36
sj,2012,21,9
sj,2012,22,8
sj,2012,23,16
sj,2012,24,42
sj,2012,25,23
sj,2012,26,24
sj,2012,27,18
sj,2012,28,13
sj,2012,29,45
sj,2012,30,82
sj,2012,31,23
sj,2012,32,29
sj,2012,33,46
sj,2012,34,48
sj,2012,35,112
sj,2012,36,36
sj,2012,37,90
sj,2012,38,126
sj,2012,39,56
sj,2012,40,66
sj,2012,41,40
sj,2012,42,33
sj,2012,43,45
sj,2012,44,67
sj,2012,45,53
sj,2012,46,55
sj,2012,47,50
sj,2012,48,32
sj,2012,49,57
sj,2012,50,60
sj,2012,51,23
sj,2013,1,38
sj,2013,2,27
sj,2013,3,15
sj,2013,4,12
sj,2013,5,18
sj,2013,6,16
sj,2013,7,10
sj,2013,8,11
sj,2013,9,9
sj,2013,10,16
sj,2013,11,17
sj,2013,12,12
sj,2013,13,7
sj,2013,14,19
sj,2013,15,7
sj,2013,16,9
sj,2013,17,8
iq,2010,26,4
iq,2010,27,3
iq,2010,28,5
iq,2010,29,5
iq,2010,30,7
iq,2010,31,5
iq,2010,32,4
iq,2010,33,3
iq,2010,34,7
iq,2010,35,7
iq,2010,36,5
iq,2010,37,5
iq,2010,38,9
iq,2010,39,6
iq,2010,40,11
iq,2010,41,6
iq,2010,42,25
iq,2010,43,7
iq,2010,44,13
iq,2010,45,12
iq,2010,46,24
iq,2010,47,14
iq,2010,48,8
iq,2010,49,4
iq,2010,50,16
iq,2010,51,19
iq,2011,52,10
iq,2011,1,5
iq,2011,2,6
iq,2011,3,8
iq,2011,4,16
iq,2011,5,16
iq,2011,6,15
iq,2011,7,14
iq,2011,8,31
iq,2011,9,12
iq,2011,10,6
iq,2011,11,21
iq,2011,12,8
iq,2011,13,6
iq,2011,14,7
iq,2011,15,6
iq,2011,16,8
iq,2011,17,10
iq,2011,18,7
iq,2011,19,2
iq,2011,20,14
iq,2011,21,3
iq,2011,22,4
iq,2011,23,2
iq,2011,24,3
iq,2011,25,9
iq,2011,26,4
iq,2011,27,5
iq,2011,28,3
iq,2011,29,6
iq,2011,30,5
iq,2011,31,5
iq,2011,32,2
iq,2011,33,4
iq,2011,34,4
iq,2011,35,3
iq,2011,36,4
iq,2011,37,6
iq,2011,38,4
iq,2011,39,6
iq,2011,40,13
iq,2011,41,4
iq,2011,42,14
iq,2011,43,17
iq,2011,44,9
iq,2011,45,13
iq,2011,46,5
iq,2011,47,11
iq,2011,48,4
iq,2011,49,19
iq,2011,50,16
iq,2011,51,5
iq,2012,52,30
iq,2012,1,21
iq,2012,2,8
iq,2012,3,12
iq,2012,4,13
iq,2012,5,8
iq,2012,6,13
iq,2012,7,15
iq,2012,8,15
iq,2012,9,18
iq,2012,10,10
iq,2012,11,11
iq,2012,12,8
iq,2012,13,4
iq,2012,14,7
iq,2012,15,6
iq,2012,16,7
iq,2012,17,5
iq,2012,18,5
iq,2012,19,5
iq,2012,20,5
iq,2012,21,1
iq,2012,22,4
iq,2012,23,3
iq,2012,24,6
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,5
iq,2012,29,4
iq,2012,30,5
iq,2012,31,6
iq,2012,32,5
iq,2012,33,7
iq,2012,34,16
iq,2012,35,6
iq,2012,36,4
iq,2012,37,5
iq,2012,38,7
iq,2012,39,10
iq,2012,40,10
iq,2012,41,9
iq,2012,42,14
iq,2012,43,15
iq,2012,44,11
iq,2012,45,13
iq,2012,46,24
iq,2012,47,42
iq,2012,48,13
iq,2012,49,6
iq,2012,50,15
iq,2012,51,31
iq,2013,1,8
iq,2013,2,19
iq,2013,3,17
iq,2013,4,11
iq,2013,5,10
iq,2013,6,9
iq,2013,7,9
iq,2013,8,8
iq,2013,9,12
iq,2013,10,10
iq,2013,11,8
iq,2013,12,17
iq,2013,13,8
iq,2013,14,8
iq,2013,15,5
iq,2013,16,8
iq,2013,17,6
iq,2013,18,6
iq,2013,19,6
iq,2013,20,4
iq,2013,21,4
iq,2013,22,3
iq,2013,23,1
iq,2013,24,1
iq,2013,25,3
iq,2013,26,3
